top - 12:01:37 up  1:22,  2 users,  load average: 0.88, 0.43, 0.21
     59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/16-+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/17-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/19-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/20-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/21-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/22-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/23-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     90 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    168 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    170 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    171 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    193 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    195 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    196 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    197 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    198 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    199 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    201 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    202 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    203 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    205 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    206 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    207 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    209 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    210 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    213 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    214 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    215 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    217 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    223 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    227 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    229 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    230 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    231 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    232 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    233 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    235 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    237 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    238 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    239 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    240 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    241 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    242 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    243 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    245 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    246 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    247 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    249 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    250 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    251 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    252 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    354 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    355 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    356 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    357 root      20   0       0      0      0 S   0.0   0.0   0:00.33 dmcrypt+
    365 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    393 root      20   0       0      0      0 S   0.0   0.0   0:00.30 jbd2/dm+
    394 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    464 root      19  -1   67652  20616  18952 S   0.0   0.6   0:00.56 systemd+
    486 systemd+  20   0   17596   6700   5932 S   0.0   0.2   0:02.58 systemd+
    531 systemd+  20   0   22988  13572  10756 S   0.0   0.4   0:00.30 systemd+
    532 systemd+  20   0   91256   7332   6436 S   0.0   0.2   0:00.06 systemd+
    543 root      20   0   39092  11684   7076 S   0.0   0.3   0:00.15 systemd+
    546 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    617 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    618 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/60-+
    619 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/61-+
    633 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/62-+
    637 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/63-+
    641 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/64-+
    642 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/65-+
    643 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/66-+
    644 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/67-+
    645 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1040 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nv+
   1041 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1293 avahi     20   0    6568   3644   3388 S   0.0   0.1   0:00.26 avahi-d+
   1294 message+  20   0   11940   7736   3768 S   0.0   0.2   0:00.64 dbus-da+
   1298 gnome-r+  20   0  523396  14068  11764 S   0.0   0.4   0:00.00 gnome-r+
   1301 polkitd   20   0  390428  10832   7184 S   0.0   0.3   0:00.35 polkitd
   1306 root      20   0 1991944  30160  16980 S   0.0   0.9   0:01.32 snapd
   1308 root      20   0  312596   6640   6000 S   0.0   0.2   0:00.20 account+
   1309 root      20   0    9964   2252   2124 S   0.0   0.1   0:00.05 cron
   1311 root      20   0  311416   6284   5772 S   0.0   0.2   0:00.00 switche+
   1314 root      20   0   18448   8492   7256 S   0.0   0.2   0:00.18 systemd+
   1318 root      20   0  474160  16368  13168 S   0.0   0.5   0:00.18 udisksd
   1344 avahi     20   0    6380   1724   1456 S   0.0   0.0   0:00.00 avahi-d+
   1362 syslog    20   0  220832   4684   3148 S   0.0   0.1   0:00.11 rsyslogd
   1401 root      20   0   16900   5180   4540 S   0.0   0.1   0:00.05 wpa_sup+
   1447 root      20   0  397028  11456   9536 S   0.0   0.3   0:00.02 ModemMa+
   1590 root      20   0   35424  11072   8512 S   0.0   0.3   0:00.02 cupsd
   1592 root      20   0  124104  23480  10580 S   0.0   0.7   0:00.04 unatten+
   1703 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1738 root      20   0  342248  15692  13004 S   0.0   0.5   0:00.45 Network+
   1824 cups-br+  20   0  210396  18612  15668 S   0.0   0.5   0:00.02 cups-br+
   1875 root      20   0  314248   8056   7160 S   0.0   0.2   0:00.02 gdm3
   1890 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1915 rtkit     21   1   21364   2720   2592 S   0.0   0.1   0:00.08 rtkit-d+
   2040 colord    20   0  320600  13096   8528 S   0.0   0.4   0:00.04 colord
   2082 root      20   0  322276   8840   7048 S   0.0   0.3   0:00.03 upowerd
   2602 root      20   0  312868   6212   5700 S   0.0   0.2   0:00.02 power-p+
   2630 root      20   0  391764   9860   8580 S   0.0   0.3   0:00.04 gdm-ses+
   2636 dev-bri+  20   0   22988  12752   9552 S   0.0   0.4   0:00.64 systemd
   2637 dev-bri+  20   0   23756   3008   2044 S   0.0   0.1   0:00.00 (sd-pam)
   2652 dev-bri+  20   0    7272   3100   2972 S   0.0   0.1   0:00.02 mpris-p+
   2653 dev-bri+   9 -11  176476  11260   5944 S   0.0   0.3   1:06.83 pipewire
   2654 dev-bri+  20   0   88008   3500   2988 S   0.0   0.1   0:00.00 pipewire
   2661 dev-bri+   9 -11  487160  14376   9896 S   0.0   0.4   0:00.99 wireplu+
   2666 dev-bri+   9 -11  185520  13064   9232 S   0.0   0.4   0:00.36 pipewir+
   2680 dev-bri+  20   0   10888   7232   3776 S   0.0   0.2   0:00.93 dbus-da+
   2681 dev-bri+  20   0  186536   9056   8160 S   0.0   0.3   0:00.10 gnome-k+
   2691 dev-bri+  20   0  758724   6572   5804 S   0.0   0.2   0:00.05 xdg-doc+
   2698 dev-bri+  20   0  310856   5652   5268 S   0.0   0.2   0:00.00 xdg-per+
   2719 dev-bri+  20   0  171072   5704   5320 S   0.0   0.2   0:00.00 gdm-way+
   2725 root      20   0    2356   1524   1524 S   0.0   0.0   0:00.00 fusermo+
   2728 dev-bri+  20   0  202108  11252   9716 S   0.0   0.3   0:00.00 gnome-s+
   2816 dev-bri+  20   0   97688   6064   5552 S   0.0   0.2   0:00.00 gcr-ssh+
   2819 dev-bri+  20   0   90168   4944   4560 S   0.0   0.1   0:00.00 gnome-s+
   2846 dev-bri+  20   0  315860   7072   6432 S   0.0   0.2   0:00.03 gvfsd
   2867 dev-bri+  20   0  470368   6828   6188 S   0.0   0.2   0:00.00 gvfsd-f+
   3054 dev-bri+  20   0  637760  13100  10796 S   0.0   0.4   0:00.06 gnome-s+
   3081 dev-bri+  20   0 4062400 376748  73964 S   0.0  10.9   5:03.22 gnome-s+
   3082 dev-bri+  20   0  382172   6820   6180 S   0.0   0.2   0:00.00 at-spi-+
   3095 dev-bri+  20   0    8724   4160   3648 S   0.0   0.1   0:00.02 dbus-da+
   3129 dev-bri+  20   0  170128   6444   5932 S   0.0   0.2   0:00.00 at-spi2+
   3144 dev-bri+  20   0  662596  20632  16932 S   0.0   0.6   0:00.03 gnome-s+
   3155 dev-bri+  20   0  965552  37668  29092 S   0.0   1.1   0:00.07 evoluti+
   3156 dev-bri+  20   0  165640   5488   4976 S   0.0   0.2   0:00.02 dconf-s+
   3165 dev-bri+  20   0 2601260  25688  20932 S   0.0   0.7   0:00.02 gjs
   3166 dev-bri+  20   0  206412  23780   9956 S   0.0   0.7   0:00.08 Xwayland
   3175 dev-bri+  20   0  388924   9748   6672 S   0.0   0.3   0:05.93 ibus-da+
   3176 dev-bri+  20   0  245480   6468   5828 S   0.0   0.2   0:00.00 gsd-a11+
   3180 dev-bri+  20   0  418052  17984  15168 S   0.0   0.5   0:00.07 gsd-col+
   3181 dev-bri+  20   0  258700   8480   7712 S   0.0   0.2   0:00.00 gsd-dat+
   3182 dev-bri+  20   0  386972   7608   6840 S   0.0   0.2   0:00.21 gsd-hou+
   3183 dev-bri+  20   0  416236  17548  14860 S   0.0   0.5   0:00.02 gsd-key+
   3184 dev-bri+  20   0  585144  19844  16388 S   0.0   0.6   0:00.09 gsd-med+
   3185 dev-bri+  20   0  493888  18840  16024 S   0.0   0.5   0:00.06 gsd-pow+
   3190 dev-bri+  20   0  324812  10320   9040 S   0.0   0.3   0:00.00 gsd-pri+
   3191 dev-bri+  20   0  393388   6604   5964 S   0.0   0.2   0:00.01 gsd-rfk+
   3192 dev-bri+  20   0  310716   6000   5488 S   0.0   0.2   0:00.00 gsd-scr+
   3197 dev-bri+  20   0  404456   9040   8016 S   0.0   0.3   0:00.02 gsd-sha+
   3205 dev-bri+  20   0  387560   6952   6440 S   0.0   0.2   0:00.00 gsd-sma+
   3206 dev-bri+  20   0  257968   7696   6800 S   0.0   0.2   0:00.00 gsd-sou+
   3207 dev-bri+  20   0  418092  18256  14928 S   0.0   0.5   0:00.03 gsd-wac+
   3216 dev-bri+  20   0  843704  56384  42944 S   0.0   1.6   0:00.09 evoluti+
   3219 dev-bri+  20   0  306752   6924   5900 S   0.0   0.2   0:00.01 gsd-dis+
   3288 dev-bri+  20   0  526120  20268  16684 S   0.0   0.6   0:00.01 goa-dae+
   3325 dev-bri+  20   0 1179128  23016  19560 S   0.0   0.7   0:00.05 evoluti+
   3350 dev-bri+  20   0  390224   9644   8236 S   0.0   0.3   0:00.08 gvfs-ud+
   3356 dev-bri+  20   0  421368  12256  10336 S   0.0   0.4   0:00.00 gsd-pri+
   3387 dev-bri+  20   0  391300   8428   7532 S   0.0   0.2   0:00.00 goa-ide+
   3397 dev-bri+  20   0  831516  27124  23412 S   0.0   0.8   0:00.03 evoluti+
   3410 dev-bri+  20   0  392636   7692   6668 S   0.0   0.2   0:00.39 gvfs-af+
   3420 dev-bri+  20   0  310980   6144   5632 S   0.0   0.2   0:00.01 gvfs-go+
   3428 dev-bri+  20   0  311084   6312   5672 S   0.0   0.2   0:00.01 gvfs-mt+
   3437 dev-bri+  20   0  172344   6628   6244 S   0.0   0.2   0:00.00 ibus-me+
   3438 dev-bri+  20   0  427880  29492  16164 S   0.0   0.9   0:02.16 ibus-ex+
   3442 dev-bri+  20   0  312396   6504   5864 S   0.0   0.2   0:00.01 gvfs-gp+
   3445 dev-bri+  20   0  311728   7120   6480 S   0.0   0.2   0:00.03 ibus-po+
   3471 dev-bri+  20   0  172472   7268   6500 S   0.0   0.2   0:02.11 ibus-en+
   3513 dev-bri+  20   0  537612   8364   7084 S   0.0   0.2   0:00.04 gvfsd-t+
   3527 dev-bri+  20   0  467896  39020  21600 S   0.0   1.1   0:00.10 gsd-xse+
   3548 dev-bri+  39  19  885908  29720  16596 S   0.0   0.9   0:00.49 localse+
   3570 dev-bri+  20   0  182020  10204   8924 S   0.0   0.3   0:00.00 ibus-x11
   3581 dev-bri+  20   0 2527588  26096  20936 S   0.0   0.8   0:00.05 gjs
   3583 dev-bri+  20   0 1111900  51880  23976 S   0.0   1.5   0:00.11 mutter-+
   3608 root      20   0  312612   6392   5880 S   0.0   0.2   0:00.00 ubuntu-+
   3609 dev-bri+  20   0  708844  16324  12740 S   0.0   0.5   0:00.36 xdg-des+
   3618 dev-bri+  20   0  610632  28448  19360 S   0.0   0.8   0:00.19 xdg-des+
   3628 dev-bri+  20   0   41392   4116   2708 S   0.0   0.1   0:00.01 snapd-d+
   3783 dev-bri+  20   0  435828  14528   5636 S   0.0   0.4   0:00.11 snapd-d+
   3853 dev-bri+  20   0  172080   6164   5780 S   0.0   0.2   0:00.00 gvfsd-m+
   3882 dev-bri+  20   0  422032  22576  16176 S   0.0   0.7   0:00.08 xdg-des+
   4124 dev-bri+  20   0  574176  29472  22176 S   0.0   0.9   0:00.28 update-+
   4254 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4505 dev-bri+  20   0  710160  46712  33996 S   0.0   1.3   0:14.62 gnome-t+
   4512 dev-bri+  20   0   11688   5508   3332 S   0.0   0.2   0:00.46 bash
   5727 dev-bri+  20   0   11.4g 568976 218868 S   0.0  16.4   1:50.95 firefox
   5899 root      20   0       0      0      0 I   0.0   0.0   0:03.88 kworker+
   5926 dev-bri+  20   0  212236  38432  29472 S   0.0   1.1   0:01.09 Socket +
   5967 dev-bri+  20   0 2440596  94828  71920 S   0.0   2.7   0:00.58 WebExte+
   5974 dev-bri+  20   0  379048  73660  61556 S   0.0   2.1   0:00.18 RDD Pro+
   6001 dev-bri+  20   0 2515040 162696  93052 S   0.0   4.7   0:05.79 Privile+
   6031 dev-bri+  20   0 1835888  10008   3132 S   0.0   0.3   0:00.11 snap
   6172 dev-bri+  20   0 2457624 109828  81480 S   0.0   3.2   0:03.19 Isolate+
   6632 dev-bri+  20   0  322808  44116  33236 S   0.0   1.3   0:00.08 Utility+
   6639 dev-bri+  20   0 2684032 202368  95540 S   0.0   5.8   0:22.47 Isolate+
   6961 dev-bri+  20   0  390336   8260   7236 S   0.0   0.2   0:00.01 gvfsd-r+
   6964 dev-bri+  20   0  390316   8196   7172 S   0.0   0.2   0:00.00 gvfsd-n+
   6973 dev-bri+  20   0  391840   8000   7104 S   0.0   0.2   0:00.00 gvfsd-d+
   6979 dev-bri+  20   0  389692   7652   6628 S   0.0   0.2   0:00.07 gvfsd-w+
   6984 dev-bri+  20   0   44172  26040   7520 S   0.0   0.8   0:00.17 python3
   7159 dev-bri+  20   0 3205048 622436 102272 S   0.0  18.0   1:05.28 Isolate+
   7190 dev-bri+  20   0 2402248  67248  53680 S   0.0   1.9   0:00.42 Web Con+
   7193 dev-bri+  20   0 2402244  67328  53760 S   0.0   1.9   0:00.43 Web Con+
   7257 dev-bri+  20   0 2402248  67236  53668 S   0.0   1.9   0:00.42 Web Con+
   7412 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   7424 root      20   0       0      0      0 I   0.0   0.0   0:01.38 kworker+
   7866 root      20   0       0      0      0 I   0.0   0.0   0:00.30 kworker+
   7949 root      20   0  488892  41868  33080 S   0.0   1.2   0:00.90 fwupd
   8162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8199 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8208 root      20   0       0      0      0 I   0.0   0.0   0:00.80 kworker+
   8344 dev-bri+  20   0 2851352  60036  46156 S   0.0   1.7   0:00.18 gjs
   8381 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8389 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8468 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
   8488 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8543 dev-bri+  20   0 1562092 200316 114072 S   0.0   5.8   0:00.35 nautilus
   8568 root      20   0   17388   7112   6216 S   0.0   0.2   0:00.02 systemd+
   8572 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
